do_id	description
DOID:4490	malignant peritoneal solitary fibrous tumor
DOID:4504	central nervous system angiosarcoma
DOID:4505	childhood angiosarcoma
DOID:4510	aorta angiosarcoma
DOID:4511	breast angiosarcoma
DOID:4512	conventional angiosarcoma
DOID:4513	gallbladder angiosarcoma
DOID:4514	thyroid angiosarcoma
DOID:4515	thyroid sarcoma
DOID:4517	skin angiosarcoma
DOID:4520	cervical endometrial stromal sarcoma
DOID:4521	cervix endometrial stromal tumor
DOID:4522	superior vena cava angiosarcoma
DOID:4524	prostate angiosarcoma
DOID:4525	mediastinum angiosarcoma
DOID:4527	ovarian angiosarcoma
DOID:4531	mucoepidermoid carcinoma
DOID:4545	mesenchymal chondrosarcoma
DOID:4546	childhood mesenchymal chondrosarcoma
DOID:4547	adult mesenchymal chondrosarcoma
DOID:4548	extraskeletal mesenchymal chondrosarcoma
DOID:4549	extraskeletal myxoid chondrosarcoma
DOID:4552	large cell carcinoma
DOID:4553	thymus large cell carcinoma
DOID:4554	type C thymoma
DOID:4555	ovarian large-cell neuroendocrine carcinoma
DOID:4556	lung large cell carcinoma
DOID:4584	choroid plexus meningioma
DOID:4586	familial meningioma
DOID:4588	secretory meningioma
DOID:4591	lymphoplasmacyte-rich meningioma
DOID:4593	childhood meningioma
DOID:4594	microcystic meningioma
DOID:4606	bile duct cancer
DOID:4607	biliary tract cancer
DOID:4618	maxillary cancer
DOID:4645	retinal cancer
DOID:4647	trilateral retinoblastoma
DOID:4648	familial retinoblastoma
DOID:4650	bilateral retinoblastoma
DOID:4651	unilateral retinoblastoma
DOID:4653	intraocular retinoblastoma
DOID:4656	extraocular retinoblastoma
DOID:4678	thymus mucoepidermoid carcinoma
DOID:4679	breast mucoepidermoid carcinoma
DOID:4680	breast metaplastic carcinoma
DOID:4681	bile duct mucoepidermoid carcinoma
DOID:4682	extrahepatic bile duct carcinoma
DOID:4683	cutaneous mucoepidermoid carcinoma
DOID:4685	lacrimal gland mucoepidermoid carcinoma
DOID:4686	mucoepidermoid esophageal carcinoma
DOID:4687	thyroid gland mucoepidermoid carcinoma
DOID:4688	laryngeal mucoepidermoid carcinoma
DOID:4690	childhood mediastinal neurogenic tumor
DOID:4691	malignant mediastinal neurogenic neoplasm
DOID:4693	nerve plexus neoplasm
DOID:4696	intraneural perineurioma
DOID:4697	perineurioma
DOID:4698	nerve root neoplasm
DOID:4699	epicardium cancer
DOID:4706	infratentorial cancer
DOID:4707	cervicomedullary junction neoplasm
DOID:4708	foramen magnum meningioma
DOID:4716	malignant gastric germ cell tumor
DOID:4717	extragonadal germ cell cancer
DOID:4719	bone giant cell sarcoma
DOID:4739	testicular Brenner tumor
DOID:4743	mixed testicular germ cell tumor
DOID:4749	middle cranial fossa meningioma
DOID:4756	testicular Leydig cell tumor
DOID:4757	testicular sex cord-stromal neoplasm
DOID:4765	pulmonary blastoma
DOID:4766	embryoma
DOID:4767	classic pulmonary blastoma
DOID:4768	epithelial predominant pulmonary blastoma
DOID:4769	pleuropulmonary blastoma
DOID:4773	congenital mesoblastic nephroma
DOID:4787	cerebellopontine angle primitive neuroectodermal tumor
DOID:4788	intracranial primitive neuroectodermal tumor
DOID:4790	medulloepithelioma
DOID:4791	supratentorial primitive neuroectodermal tumor
DOID:4812	adult brainstem gliosarcoma
DOID:4813	adult brain stem glioma
DOID:4829	adenosquamous lung carcinoma
DOID:4830	adenosquamous carcinoma
DOID:4838	myoepithelial carcinoma
DOID:4839	sebaceous adenocarcinoma
DOID:4840	sebaceous carcinoma
DOID:4846	cauda equina intradural extramedullary astrocytoma
DOID:4847	cauda equina neoplasm
DOID:4848	cerebellar astrocytoma
DOID:4853	pilocytic astrocytoma of cerebellum
DOID:4855	diencephalic astrocytoma
DOID:4856	gliofibroma
DOID:4858	pineal gland astrocytoma
DOID:4860	brain stem astrocytic neoplasm
DOID:4863	spinal cord astrocytoma
DOID:4866	salivary gland adenoid cystic carcinoma
DOID:4867	cervical adenoid cystic carcinoma
DOID:4868	prostate adenoid cystic carcinoma
DOID:4869	laryngeal adenoid cystic carcinoma
DOID:4870	lacrimal gland adenoid cystic carcinoma
DOID:4871	cutaneous adenocystic carcinoma
DOID:4872	lung adenoid cystic carcinoma
DOID:4875	trachea adenoid cystic carcinoma
DOID:4876	trachea carcinoma
DOID:4877	breast adenoid cystic carcinoma
DOID:4878	esophageal adenoid cystic carcinoma
DOID:4879	Bartholin's gland adenoid cystic carcinoma
DOID:4880	kidney clear cell sarcoma
DOID:4892	middle ear adenocarcinoma
DOID:4893	middle ear carcinoma
DOID:4894	rete ovarii adenocarcinoma
DOID:4896	bile duct adenocarcinoma
DOID:4897	bile duct carcinoma
DOID:4901	peritoneal serous adenocarcinoma
DOID:4902	appendix carcinoma
DOID:4903	granular cell carcinoma
DOID:4905	pancreatic carcinoma
DOID:4906	small intestine adenocarcinoma
DOID:4907	small intestine carcinoma
DOID:4908	anal carcinoma
DOID:4910	urethra adenocarcinoma
DOID:4914	esophagus adenocarcinoma
DOID:4915	basophilic adenocarcinoma
DOID:4916	pituitary carcinoma
DOID:4917	villous adenocarcinoma
DOID:4918	renal pelvis adenocarcinoma
DOID:4919	renal pelvis carcinoma
DOID:4920	eccrine adenocarcinoma
DOID:4921	eccrine sweat gland cancer
DOID:4922	breast secretory carcinoma
DOID:4923	thymus adenocarcinoma
DOID:4926	bronchiolo-alveolar adenocarcinoma
DOID:4927	Klatskin's tumor
DOID:4928	intrahepatic cholangiocarcinoma
DOID:4929	tubular adenocarcinoma
DOID:4930	nasal cavity adenocarcinoma
DOID:4931	nasal cavity carcinoma
DOID:4932	ampulla of Vater carcinoma
DOID:4933	apocrine carcinoma
DOID:4934	apocrine sweat gland cancer
DOID:4938	ureter adenocarcinoma
DOID:4939	ureter carcinoma
DOID:4944	gastroesophageal junction adenocarcinoma
DOID:4947	cholangiocarcinoma
DOID:4948	gallbladder carcinoma
DOID:4955	central nervous system melanocytic neoplasm
DOID:4957	meninges hemangiopericytoma
DOID:4960	bone marrow cancer
DOID:4971	myelofibrosis
DOID:4972	myelodysplastic/myeloproliferative neoplasm
DOID:4985	extraosseous Ewings sarcoma-primitive neuroepithelial tumor
DOID:4991	optic nerve astrocytoma
DOID:4992	optic nerve glioma
DOID:5015	fibrolamellar carcinoma
DOID:5016	hepatocellular clear cell carcinoma
DOID:5022	aflatoxins-related hepatocellular carcinoma
DOID:5026	sclerosing hepatic carcinoma
DOID:5030	pineal parenchymal tumor of intermediate differentiation
DOID:5031	adult pineal parenchymal tumor
DOID:5032	pineal gland cancer
DOID:5040	malignant granular cell esophageal tumor
DOID:5041	esophageal cancer
DOID:5042	malignant granular cell myoblastoma
DOID:5050	Ehrlich tumor carcinoma
DOID:5056	adult cerebellar neoplasm
DOID:5057	papillary meningioma of the cerebellum
DOID:5058	rhabdoid meningioma
DOID:5059	childhood cerebellar neoplasm
DOID:5063	basosquamous carcinoma
DOID:5074	high grade ependymoma
DOID:5076	mixed glioma
DOID:5088	mixed epithelial stromal tumour
DOID:5090	sternum cancer
DOID:5093	thoracic cancer
DOID:5099	middle ear cancer
DOID:5101	ear cancer
DOID:5102	inner ear cancer
DOID:5118	ovarian cystic teratoma
DOID:5149	epithelioid neurofibroma
DOID:5150	neurofibroma of gallbladder
DOID:5151	plexiform neurofibroma
DOID:5152	cellular neurofibroma
DOID:5153	atypical neurofibroma
DOID:5158	pleural cancer
DOID:5165	uterine corpus sarcoma
DOID:5166	endometrial stromal tumor
DOID:5169	ovarian endometrioid stromal sarcoma
DOID:5170	vaginal endometrial stromal sarcoma
DOID:5171	vaginal endometrial stromal tumor
DOID:5176	renal Wilms' tumor
DOID:5178	metachronous kidney Wilms' tumor
DOID:5179	mixed cell type kidney Wilms' tumor
DOID:5182	blastema predominant kidney Wilms' tumor
DOID:5183	hereditary Wilms' tumor
DOID:5189	epithelial predominant Wilms' tumor
DOID:5190	cervical Wilms' tumor
DOID:5191	stromal predominant kidney Wilms' tumor
DOID:5193	nodular ganglioneuroblastoma
DOID:5194	intermixed schwannian stroma-rich ganglioneuroblastoma
DOID:5195	peripheral nervous system ganglioneuroblastoma
DOID:5207	monodermal teratoma
DOID:5208	malignant struma ovarii
DOID:5233	glomangiosarcoma
DOID:5236	subungual glomus tumor
DOID:5240	retinal hemangioblastoma
DOID:5251	inflammatory leiomyosarcoma
DOID:5253	conventional leiomyosarcoma
DOID:5254	central nervous system leiomyosarcoma
DOID:5258	granular cell leiomyosarcoma
DOID:5259	colon leiomyosarcoma
DOID:5260	colon sarcoma
DOID:5261	heart leiomyosarcoma
DOID:5262	heart sarcoma
DOID:5263	ovary leiomyosarcoma
DOID:5264	epithelioid leiomyosarcoma
DOID:5265	lung leiomyosarcoma
DOID:5267	anus leiomyosarcoma
DOID:5268	myxoid leiomyosarcoma
DOID:5271	small intestine leiomyosarcoma
DOID:5272	small intestinal sarcoma
DOID:5273	cutaneous leiomyosarcoma
DOID:5274	malignant dermis tumor
DOID:5275	gallbladder leiomyosarcoma
DOID:5276	esophagus leiomyosarcoma
DOID:5280	gastric leiomyosarcoma
DOID:5282	prostate leiomyosarcoma
DOID:5283	vagina leiomyosarcoma
DOID:5284	retroperitoneal leiomyosarcoma
DOID:5285	breast leiomyosarcoma
DOID:5286	vulvar leiomyosarcoma
DOID:5287	kidney leiomyosarcoma
DOID:5288	larynx leiomyosarcoma
DOID:5289	uterus leiomyosarcoma
DOID:5292	mediastinum leiomyosarcoma
DOID:5293	extrahepatic bile duct leiomyosarcoma
DOID:5296	liver leiomyosarcoma
DOID:5297	rectum leiomyosarcoma
DOID:5299	endometrial clear cell adenocarcinoma
DOID:5301	fallopian tube clear cell adenocarcinoma
DOID:5302	uterine ligament clear cell adenocarcinoma
DOID:5303	cervical clear cell adenocarcinoma
DOID:5304	ovarian clear cell adenocarcinoma
DOID:5306	bladder clear cell adenocarcinoma
DOID:5307	urethra clear cell adenocarcinoma
DOID:5308	ampulla of Vater clear cell adenocarcinoma
DOID:5309	epithelial-myoepithelial carcinoma
DOID:5310	glycogen-rich clear cell breast carcinoma
DOID:5313	vulvar alveolar soft part sarcoma
DOID:5324	fallopian tube germ cell cancer
DOID:5331	testicular granulosa cell tumor
DOID:5341	pineal region yolk sac tumor
DOID:5342	childhood endodermal sinus tumor
DOID:5343	central nervous system endodermal sinus tumor
DOID:5344	testicular yolk sac tumor
DOID:5345	testicular non-seminomatous germ cell cancer
DOID:5348	adult endodermal sinus tumor
DOID:5349	central nervous system adult germ cell tumor
DOID:5350	ovarian endodermal sinus tumor
DOID:5351	ovarian primitive germ cell tumor
DOID:5363	myxoid liposarcoma
DOID:5368	Wolffian duct adenocarcinoma
DOID:5370	breast hemangiopericytoma
DOID:5373	retroperitoneal hemangiopericytoma
DOID:5376	skin pilomatrix carcinoma
DOID:5396	prolactin producing pituitary tumor
DOID:5409	lung small cell carcinoma
DOID:5410	pulmonary neuroendocrine tumor
DOID:5411	lung oat cell carcinoma
DOID:5414	lung occult small cell carcinoma
DOID:5421	lung combined type small cell carcinoma
DOID:5467	conjunctival cancer
DOID:5484	fibrous synovial sarcoma
DOID:5485	synovial sarcoma
DOID:5487	spindle cell synovial sarcoma
DOID:5488	mediastinum synovial sarcoma
DOID:5492	biphasic synovial sarcoma
DOID:5494	epithelioid cell synovial sarcoma
DOID:5495	monophasic synovial sarcoma
DOID:5503	spinal cord ependymoma
DOID:5508	brain stem ependymoma
DOID:5509	childhood ependymoma
DOID:5510	pineal dysgerminoma
DOID:5511	dysgerminoma of ovary
DOID:5514	breast squamous cell carcinoma
DOID:5515	nasal cavity squamous cell carcinoma
DOID:5516	gastric squamous cell carcinoma
DOID:5517	stomach carcinoma
DOID:5518	penis squamous cell carcinoma
DOID:5519	colon squamous cell carcinoma
DOID:5520	head and neck squamous cell carcinoma
DOID:5521	keratinizing squamous cell carcinoma
DOID:5522	basaloid squamous cell carcinoma
DOID:5524	adenoid squamous cell carcinoma
DOID:5525	anal squamous cell carcinoma
DOID:5526	middle ear squamous cell carcinoma
DOID:5527	ampulla of Vater squamous cell carcinoma
DOID:5528	rectum squamous cell carcinoma
DOID:5529	lacrimal gland squamous cell carcinoma
DOID:5530	thymus squamous cell carcinoma
DOID:5531	ovarian squamous cell carcinoma
DOID:5533	endometrial squamous cell carcinoma
DOID:5534	renal pelvis squamous cell carcinoma
DOID:5535	gallbladder squamous cell carcinoma
DOID:5536	sarcomatoid squamous cell skin carcinoma
DOID:5537	squamous cell bile duct carcinoma
DOID:5538	external ear squamous cell carcinoma
DOID:5539	ureter squamous cell carcinoma
DOID:5540	fallopian tube squamous cell carcinoma
DOID:5546	femoral cancer
DOID:5550	choriocarcinoma of ovary
DOID:5551	choriocarcinoma of the testis
DOID:5553	pineal region choriocarcinoma
DOID:5556	testicular malignant germ cell cancer
DOID:5557	testicular germ cell cancer
DOID:5559	mediastinal cancer
DOID:5560	mediastinal mesenchymal tumor
DOID:5561	gastric teratoma
DOID:5563	malignant teratoma
DOID:5564	fallopian tube teratoma
DOID:5566	mature teratoma
DOID:5567	ovarian germ cell teratoma
DOID:5568	mediastinum teratoma
DOID:5569	malignant syringoma
DOID:5570	malignant acrospiroma
DOID:5574	VIPoma
DOID:5577	gastrinoma
DOID:5579	gastric gastrinoma
DOID:5580	pancreatic gastrinoma
DOID:5583	lung giant cell carcinoma
DOID:5585	Ferguson-Smith tumor
DOID:5588	lung papillary adenocarcinoma
DOID:5590	aggressive digital papillary adenocarcinoma
DOID:5591	eccrine papillary adenocarcinoma
DOID:5592	breast papillary carcinoma
DOID:5593	gastric papillary adenocarcinoma
DOID:5595	papillary thymic adenocarcinoma
DOID:5597	fallopian tube papillary adenocarcinoma
DOID:5598	fallopian tube serous adenocarcinoma
DOID:5602	T-cell adult acute lymphocytic leukemia
DOID:5603	T-cell acute lymphoblastic leukemia
DOID:5604	adult acute lymphocytic leukemia
DOID:5605	breast medullary carcinoma
DOID:5612	spinal cancer
DOID:5615	spinal canal intradural extramedullary neoplasm
DOID:5621	histiocytic and dendritic cell cancer
DOID:5623	adenosquamous breast carcinoma
DOID:5624	adenosquamous bile duct carcinoma
DOID:5625	esophageal adenosquamous carcinoma
DOID:5626	thymus adenosquamous carcinoma
DOID:5627	adenosquamous gallbladder carcinoma
DOID:5628	ampulla of Vater adenosquamous carcinoma
DOID:5629	adenosquamous colon carcinoma
DOID:5630	Bartholin's gland adenosquamous carcinoma
DOID:5631	endometrial adenosquamous carcinoma
DOID:5632	optic nerve sheath meningioma
DOID:5634	adenosquamous prostate carcinoma
DOID:5635	gastric adenosquamous carcinoma
DOID:5636	cervical adenosquamous carcinoma
DOID:5637	pancreatic adenosquamous carcinoma
DOID:5638	malignant giant cell tumor of soft parts
DOID:5639	rete testis neoplasm
DOID:5648	choroid plexus carcinoma
DOID:5658	lipid-rich carcinoma
DOID:5660	lymphoepithelioma-like carcinoma
DOID:5662	pleomorphic carcinoma
DOID:5665	external ear cancer
DOID:5667	sweat gland carcinoma
DOID:5672	large intestine cancer
DOID:5675	cribriform carcinoma
DOID:5677	malignant extragonadal nonseminomatous germ cell tumor
DOID:5680	embryonal testis carcinoma
DOID:5681	ovarian embryonal carcinoma
DOID:5690	well-differentiated liposarcoma
DOID:5692	cellular myxoid liposarcoma
DOID:5693	adult liposarcoma
DOID:5694	esophagus liposarcoma
DOID:5695	childhood liposarcoma
DOID:5696	larynx liposarcoma
DOID:5697	liposarcoma of the ovary
DOID:5698	fibroblastic liposarcoma
DOID:5699	kidney liposarcoma
DOID:5700	gastric liposarcoma
DOID:5701	breast liposarcoma
DOID:5702	pleomorphic liposarcoma
DOID:5703	mixed liposarcoma
DOID:5704	sclerosing liposarcoma
DOID:5705	spindle cell liposarcoma
DOID:5711	vulvar liposarcoma
DOID:5712	cutaneous liposarcoma
DOID:5713	mediastinum liposarcoma
DOID:5714	intracranial liposarcoma
DOID:5716	hormone producing pituitary cancer
DOID:5718	adrenal neuroblastoma
DOID:5719	adrenal medulla cancer
DOID:5727	uterine ligament cancer
DOID:5740	small intestinal vasoactive intestinal peptide producing tumor
DOID:5741	pancreatic vasoactive intestinal peptide producing tumor
DOID:5742	pancreatic acinar cell adenocarcinoma
DOID:5743	acinic cell breast carcinoma
DOID:5744	ovary serous adenocarcinoma
DOID:5746	ovarian serous cystadenocarcinoma
DOID:5747	uterine ligament serous adenocarcinoma
DOID:5750	endometrial serous adenocarcinoma
DOID:5751	pancreatic serous cystadenocarcinoma
DOID:5752	cervical serous adenocarcinoma
DOID:5758	malignant mesenchymoma
DOID:5760	sebaceous breast carcinoma
DOID:5761	vulvar sebaceous carcinoma
DOID:5764	lung meningioma
DOID:5772	central nervous system hematologic cancer
DOID:5777	rectum neuroendocrine neoplasm
DOID:5784	esophageal neuroendocrine tumor
DOID:5789	mixed hepatoblastoma
DOID:5798	macrotrabecular hepatoblastoma
DOID:5809	childhood parosteal osteogenic sarcoma
DOID:5815	cerebral lymphoma
DOID:5820	composite lymphoma
DOID:5821	methotrexate-associated lymphoproliferation
DOID:5822	gray zone lymphoma
DOID:5823	childhood lymphoma
DOID:5825	adult lymphoma
DOID:5826	breast lymphoma
DOID:5828	endometrioid ovary carcinoma
DOID:5829	uterine ligament endometrioid adenocarcinoma
DOID:5830	cervical endometrioid adenocarcinoma
DOID:5831	fallopian tube endometrioid adenocarcinoma
DOID:5834	spermatocytoma
DOID:5838	extragonadal seminoma
DOID:5842	testis seminoma
DOID:5859	periosteal chondrosarcoma
DOID:5861	myxoid chondrosarcoma
DOID:5862	localized chondrosarcoma
DOID:5866	juxtacortical chondrosarcoma
DOID:5867	clear cell chondrosarcoma
DOID:5874	retroperitoneal germ cell neoplasm
DOID:5875	retroperitoneal cancer
DOID:5877	endocardium cancer
DOID:5889	anaplastic ependymoma
DOID:5890	malignant adult ependymoma
DOID:5893	childhood malignant mesenchymoma
DOID:5894	adult malignant mesenchymoma
DOID:5907	penis non-invasive verrucous carcinoma
DOID:5908	penis verrucous carcinoma
DOID:5913	brachial plexus neoplasm
DOID:5914	diffuse sclerosing papillary thyroid carcinoma
DOID:5921	adult brainstem mixed glioma
DOID:5922	adult brainstem astrocytoma
DOID:5923	distal biliary tract carcinoma
DOID:5926	extrahepatic bile duct small cell adenocarcinoma
DOID:5936	ovarian mixed germ cell neoplasm
DOID:5940	malignant peripheral nerve sheath tumor
DOID:5957	bladder urachal squamous cell carcinoma
DOID:5958	bladder urachal carcinoma
DOID:5973	kidney pelvis papillary carcinoma
DOID:5974	renal pelvis transitional cell carcinoma
DOID:5982	kidney fibrosarcoma
DOID:5983	kidney osteogenic sarcoma
DOID:5990	internal auditory canal meningioma
DOID:6001	breast fibrosarcoma
DOID:6003	aleukemic leukemia cutis
DOID:6004	aleukemic leukemia
DOID:6015	adult central nervous system teratoma
DOID:6016	adult central nervous system mature teratoma
DOID:6017	central nervous system mature teratoma
DOID:6018	adult central nervous system immature teratoma
DOID:6019	central nervous system immature teratoma
DOID:6032	juvenile type testicular granulosa cell tumor
DOID:6033	heart fibrosarcoma
DOID:6034	heart malignant hemangiopericytoma
DOID:6037	spindle cell intraocular melanoma
DOID:6039	uveal melanoma
DOID:6041	choroid spindle cell melanoma
DOID:6043	ciliary body spindle cell melanoma
DOID:6052	central nervous system childhood germ cell tumor
DOID:6053	childhood germ cell cancer
DOID:6067	ovarian mucinous neoplasm
DOID:6082	childhood testicular germ cell tumor
DOID:6083	childhood ovarian endodermal sinus tumor
DOID:6084	childhood ovarian germ cell tumor
DOID:6085	meningeal melanoma
DOID:6086	malignant leptomeningeal neoplasm
DOID:6089	childhood leptomeningeal melanoma
DOID:6090	adult leptomeningeal melanoma
DOID:6098	thalamic neoplasm
DOID:6101	signet ring cell variant cervical mucinous adenocarcinoma
DOID:6103	thoracic spinal canal and spinal cord meningioma
DOID:6110	jugular foramen meningioma
DOID:6112	cerebral meningioma
DOID:6113	intracerebral cystic meningioma
DOID:6114	cerebral convexity meningioma
DOID:6115	lateral ventricle meningioma
DOID:6126	anal canal carcinoma
DOID:6128	gliomatosis cerebri
DOID:6139	uterine corpus epithelioid leiomyosarcoma
DOID:6160	childhood choriocarcinoma of the testis
DOID:6161	childhood testicular mixed germ cell tumor
DOID:6162	childhood embryonal testis carcinoma
DOID:6163	familial renal papillary carcinoma
DOID:6166	prostatic urethra urothelial carcinoma
DOID:6167	prostatic urethral cancer
DOID:6170	ovarian carcinosarcoma
DOID:6171	uterine carcinosarcoma
DOID:6179	ovarian small cell carcinoma
DOID:6190	rectum Kaposi's sarcoma
DOID:6192	malignant inflammatory fibrous histiocytoma
DOID:6193	epithelioid sarcoma
DOID:6197	conventional malignant hemangiopericytoma
DOID:6199	cornea cancer
DOID:6201	pericardial mesothelioma
DOID:6208	mediastinal osteogenic sarcoma
DOID:6209	malignant mediastinum hemangiopericytoma
DOID:6210	bladder diffuse clear cell adenocarcinoma
DOID:6212	ovarian endometrial cancer
DOID:6214	ovarian papillary neoplasm
DOID:6217	gastric diffuse adenocarcinoma
DOID:6228	peritoneal serous papillary adenocarcinoma
DOID:6229	childhood mature teratoma of the ovary
DOID:6230	childhood teratoma of the ovary
DOID:6231	mature teratoma of the ovary
DOID:6232	ovarian biphasic or triphasic teratoma
DOID:6249	mediastinum seminoma
DOID:6256	malignant growth hormone secreting neoplasm of pituitary
DOID:6262	follicular dendritic cell sarcoma
DOID:6263	inflammatory breast carcinoma
DOID:6270	gastric cardia carcinoma
DOID:6271	gastric cardia adenocarcinoma
DOID:6274	malignant thyroid stimulating hormone producing neoplasm of pituitary gland
DOID:6276	malignant ACTH producing neoplasm of pituitary gland
DOID:6278	ovarian mucinous malignant adenofibroma
DOID:6286	childhood cerebellar astrocytic neoplasm
DOID:6312	clivus chordoma
DOID:6313	clivus chondroid chordoma
DOID:6314	ovarian fetiform teratoma
DOID:6315	ovarian solid teratoma
DOID:6316	Bartholin's gland adenocarcinoma
DOID:6322	tibial adamantinoma
DOID:6331	immature teratoma of ovary
DOID:6332	adult malignant hemangiopericytoma
DOID:6333	adult intracranial malignant hemangiopericytoma
DOID:6334	anterior optic tract meningioma
DOID:6335	bilateral meningioma of optic nerve
DOID:6337	cerebellopontine angle meningioma
DOID:6339	vulvar eccrine adenocarcinoma
DOID:6344	melanotic psammomatous malignant peripheral nerve sheath tumor
DOID:6345	malignant melanocytic neoplasm of the peripheral nerve sheath
DOID:6354	chronic lymphocytic leukemia/small lymphocytic lymphoma
DOID:6367	acral lentiginous melanoma
DOID:6370	hepatic osteogenic sarcoma
DOID:6379	diffuse meningeal melanocytosis
DOID:6381	anterior foramen magnum meningioma
